Lançamento,Hora,Atual,Projeção,Anterior,
02.02.2016 (Jan),22:45,"52,4","50,5","50,2",
05.01.2016 (Dez),22:45,"50,2","52,3","51,2",
02.12.2015 (Nov),22:45,"51,2","53,1","52,0",
03.11.2015 (Out),22:45,"52,0","50,8","50,5",
30.09.2015 (Set),22:45,"50,5","51,2","51,5",
31.08.2015 (Ago),22:45,"51,5","53,9","53,8",
04.08.2015 (Jul),22:45,"53,8","52,2","51,8",
02.07.2015 (Jun),22:45,"51,8","53,8","53,5",
02.06.2015 (Mai),22:45,"53,5","53,3","52,9",
05.05.2015 (Abr),22:45,"52,9","53,1","52,3",
02.04.2015 (Mar),22:45,"52,3", ,"52,0",
03.03.2015 (Fev),22:45,"52,0", ,"51,8",
03.02.2015 (Jan),22:45,"51,8","52,8","53,4",
05.01.2015 (Dez),22:45,"53,4","52,8","53,0",
02.12.2014 (Nov),22:45,"53,0","52,5","52,9",
04.11.2014 (Out),22:45,"52,9","53,9","53,5",
07.10.2014 (Set),22:45,"53,5","53,8","54,1",
02.09.2014,22:45,"54,1", ,"50,0",
04.08.2014,22:45,"50,0", ,"53,1",
02.07.2014,22:45,"53,1", ,"50,7",
04.06.2014,22:45,"50,7", ,"51,4",
06.05.2014,22:45,"51,4", ,"51,9",
02.04.2014,22:45,"51,9", ,"51,0",
04.03.2014,22:45,"51,0", ,"50,7",
06.02.2014,22:45,"50,7", ,"50,9",
05.01.2014,22:45,"50,9", ,"52,5",
03.12.2013,22:45,"52,5", ,"52,6",
04.11.2013,22:45,"52,6", ,"52,4",
07.10.2013,22:45,"52,4", ,"52,8",
03.09.2013,22:45,"52,8", ,"51,3",
04.08.2013,22:45,"51,3", ,"51,3",
02.07.2013,22:45,"51,3", ,"51,2",
04.06.2013,22:45,"51,2", ,"51,1",
05.05.2013,22:45,"51,1", ,"54,3",
02.04.2013,22:45,"54,3", ,"52,1",
04.03.2013,22:45,"52,1", ,"54,0",
04.02.2013,22:45,"54,0", ,"51,7",
03.01.2013,22:45,"51,7", ,"52,1",
04.12.2012,22:45,"52,1", ,"53,5",
04.11.2012,22:45,"53,5", ,"54,3",
07.10.2012,23:30,"54,3", ,"52,0",
04.09.2012,23:30,"52,0", ,"53,1",
02.08.2012,23:30,"53,1", ,"52,3",
03.07.2012,23:30,"52,3", ,"54,7",
04.06.2012,23:30,"54,7", ,"54,1",
03.05.2012,23:30,"54,1", ,"53,3",
04.04.2012,23:30,"53,3", ,"53,9",
